DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,CZ,2011,25.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,CZ,2012,24.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,CZ,2013,24.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,CZ,2014,25.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,CZ,2015,25.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,CZ,2016,25.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,CZ,2017,24.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,CZ,2018,24.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,CZ,2019,24.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,CZ,2020,24.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DE,2011,29.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DE,2012,28.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DE,2013,29.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DE,2014,30.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DE,2015,30.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DE,2016,29.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DE,2017,29.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DE,2018,31.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DE,2019,29.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DE,2020,30.5,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DK,2011,26.6,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DK,2012,26.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DK,2013,26.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DK,2014,27.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DK,2015,27.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DK,2016,27.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DK,2017,27.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DK,2018,27.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DK,2019,27.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,DK,2020,27.3,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA,2011,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA,2012,30.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA,2013,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA,2014,30.9,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA,2015,30.7,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA,2016,30.7,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA,2017,30.4,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA,2018,30.6,e
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA,2019,30.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA,2020,30.3,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA18,2011,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA18,2012,30.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA18,2013,30.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA18,2014,30.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA18,2015,30.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA18,2016,30.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA18,2017,30.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA18,2018,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA18,2019,30.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA18,2020,30.2,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA19,2011,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA19,2012,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA19,2013,30.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA19,2014,31.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA19,2015,30.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA19,2016,30.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA19,2017,30.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA19,2018,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA19,2019,30.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EA19,2020,30.3,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EE,2011,31.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EE,2012,32.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EE,2013,32.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EE,2014,35.6,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EE,2015,34.8,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EE,2016,32.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EE,2017,31.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EE,2018,30.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EE,2019,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EE,2020,30.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EL,2011,33.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EL,2012,34.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EL,2013,34.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EL,2014,34.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EL,2015,34.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EL,2016,34.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EL,2017,33.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,EL,2018,32.3,
